t1,t2,seqnr
1678786267567303898,1678786267569146035,623
1678786267667187586,1678786267669168304,624
1678786267767311667,1678786267769146641,625
1678786267867300293,1678786267869150714,626
1678786267967309687,1678786267969150667,627
1678786268067156321,1678786268069149536,628
1678786268167128319,1678786268169150559,629
1678786268267284596,1678786268269151615,630
1678786268367304878,1678786268369147293,631
1678786268467303966,1678786268469147708,632
1678786268567213786,1678786268569164729,633
1678786268667181383,1678786268669149794,634
1678786268767300785,1678786268769150564,635
1678786268867301657,1678786268869146535,636
1678786268967303053,1678786268969150118,637
1678786269067301830,1678786269069149033,638
1678786269167303313,1678786269169149625,639
1678786269267308090,1678786269269137616,640
1678786269367306533,1678786269369136127,641
1678786269467155321,1678786269469139349,642
1678786269567300940,1678786269569170079,643
1678786269667321189,1678786269669146941,644
1678786269767302204,1678786269769147812,645
1678786269867308458,1678786269869139170,646
1678786269967299051,1678786269969152873,647
1678786270067209644,1678786270069138428,648
1678786270167310517,1678786270169147067,649
1678786270267295726,1678786270269149556,650
1678786270367300013,1678786270369149423,651
1678786270467216704,1678786270469146488,652
1678786270567299527,1678786270569168950,653
1678786270667184588,1678786270669147683,654
1678786270767319320,1678786270769149973,655
1678786270867319736,1678786270869150315,656
1678786270967300353,1678786270969150259,657
1678786271067166567,1678786271069147917,658
1678786271167305338,1678786271169147725,659
1678786271267289874,1678786271269149234,660
1678786271367292823,1678786271369139140,661
1678786271467293773,1678786271469149790,662
1678786271567301819,1678786271569168140,663
1678786271667331298,1678786271669148937,664
1678786271767316632,1678786271769146821,665
1678786271867287303,1678786271869149478,666
1678786271967303764,1678786271969137646,667
1678786272067293788,1678786272069136819,668
1678786272167306576,1678786272169137140,669
1678786272267298439,1678786272269138723,670
1678786272367281636,1678786272369136597,671
1678786272467296667,1678786272469147850,672
1678786272567294063,1678786272569173712,673
1678786272667327809,1678786272669174526,674
1678786272767299365,1678786272769221042,675
1678786272867253106,1678786272869171332,676
1678786272967304180,1678786272969270484,677
1678786273067306425,1678786273069271355,678
1678786273167302413,1678786273169258072,679
1678786273267304604,1678786273269247626,680
1678786273367145102,1678786273369070551,681
1678786273467165230,1678786273469119829,682
1678786273567297405,1678786273569220435,683
1678786273667314888,1678786273669215786,684
1678786273767298435,1678786273769227562,685
1678786273867163114,1678786273869082188,686
1678786273967304489,1678786273969278824,687
1678786274067304239,1678786274069254345,688
1678786274167303486,1678786274169207165,689
1678786274267274870,1678786274269148649,690
1678786274367319700,1678786274369127976,691
1678786274467302187,1678786274469225976,692
1678786274567300293,1678786274569198224,693
1678786274667324052,1678786274669248827,694
1678786274767316337,1678786274769276645,695
1678786274867305813,1678786274869279307,696
1678786274967306674,1678786274969230485,697
1678786275067167165,1678786275069119684,698
1678786275167209941,1678786275169151138,699
1678786275267272285,1678786275269151534,700
1678786275367304179,1678786275369215615,701
1678786275467299637,1678786275469241937,702
1678786275567167186,1678786275569089544,703
1678786275667327385,1678786275669203967,704
1678786275767322002,1678786275769250570,705
1678786275867163887,1678786275869136024,706
1678786275967310744,1678786275969272987,707
1678786276067301513,1678786276069258409,708
1678786276167143373,1678786276169082739,709
1678786276267307249,1678786276269255024,710
1678786276367304070,1678786276369235631,711
1678786276467298150,1678786276469255993,712
1678786276567305911,1678786276569215495,713
1678786276667307460,1678786276669102225,714
1678786276767308594,1678786276769269163,715
1678786276867171465,1678786276869122180,716
1678786276967304111,1678786276969196137,717
1678786277067300984,1678786277069195405,718
1678786277167301339,1678786277169263670,719
1678786277267307258,1678786277269263066,720
1678786277367306189,1678786277369162299,721
1678786277467302108,1678786277469258448,722
1678786277567303828,1678786277569198270,723
1678786277667321600,1678786277669243120,724
1678786277767322232,1678786277769026347,725
1678786277867308314,1678786277869289000,726
1678786277967305079,1678786277969209843,727
1678786278067213245,1678786278069169084,728
1678786278167296528,1678786278169212863,729
1678786278267170613,1678786278269061434,730
1678786278367302686,1678786278369246511,731
1678786278467301021,1678786278469234726,732
1678786278567302849,1678786278569135193,733
1678786278667347862,1678786278669252401,734
1678786278767322672,1678786278769269847,735
1678786278867321208,1678786278869257034,736
1678786278967305051,1678786278969263994,737
1678786279067301952,1678786279069243383,738
1678786279167322901,1678786279169278172,739
1678786279267306879,1678786279269138998,740
1678786279367306860,1678786279369202603,741
1678786279467200462,1678786279469082176,742
1678786279567315254,1678786279569240626,743
1678786279667300777,1678786279669206463,744
1678786279767324481,1678786279769264917,745
1678786279867306092,1678786279869227967,746
1678786279967302338,1678786279969285143,747
1678786280067302008,1678786280069246723,748
1678786280167302457,1678786280169260919,749
1678786280267303641,1678786280269181763,750
1678786280367304876,1678786280369272449,751
